zip_code;label
17520;archiac
24590;archignac
3380;archignat
86210;archigny
17380;archingeay
2360;archon
42460;arcinges
33460;arcins
51170;arcis le ponsart
10700;arcis sur aube
28400;arcisses
28400;arcisses
28400;arcisses
65360;arcizac adour
65100;arcizac ez angles
65400;arcizans avant
65400;arcizans dessus
18200;arcomps
18200;arcomps
25300;arcon
42370;arcon
21320;arconcey
72610;arconnay
63250;arconsat
10200;arconville
94110;arcueil
2130;arcy ste restitue
2130;arcy ste restitue
89270;arcy sur cure
28170;ardelles
28700;ardelu
18170;ardenais
72370;ardenay sur merize
65240;ardengost
36120;ardentes
63420;ardes
8400;ardeuil et montfauxelles
31210;ardiege
17290;ardillieres
79160;ardin
32430;ardizas
7290;ardoix
39300;ardon
45160;ardon
76680;ardouval
62610;ardres
62610;ardres
62610;ardres
20220;aregno
41100;areines
76940;arelaune en seine
76940;arelaune en seine
64400;aren
40110;arengosse
74800;arenthon
33740;ares
39110;aresches
64320;aressy
64570;arette
23700;arfeuille chatain
3120;arfeuilles
81110;arfons
64300;argagnon
14400;arganchy
10140;argancon
57640;argancy
9800;argein
65200;argeles bagneres
65400;argeles gazost
66700;argeles sur mer
66700;argeles sur mer
11120;argeliers
34380;argelliers
64450;argelos
40700;argelos
40430;argelouse
14370;argences
12210;argences en aubrac
12210;argences en aubrac
12420;argences en aubrac
12210;argences en aubrac
12420;argences en aubrac
12420;argences en aubrac
11200;argens minervois
18410;argent sur sauldre
61200;argentan
19320;argentat sur dordogne
19400;argentat sur dordogne
89160;argentenay
95100;argenteuil
89160;argenteuil sur armancon
77390;argentieres
73220;argentine
47250;argenton
36200;argenton sur creuse
79150;argentonnay
79150;argentonnay
79300;argentonnay
79150;argentonnay
79150;argentonnay
79150;argentonnay
79150;argentonnay
79150;argentonnay
53210;argentre
35370;argentre du plessis
18140;argenvieres
28480;argenvilliers
51800;argers
64410;arget
90800;argiesans
70600;argillieres
30210;argilliers
21700;argilly
1230;argis
20140;argiusta moriccio
80470;argoeuves
29560;argol
74370;argonay
80120;argoules
76780;argueil
80140;arguel
31160;arguenos
31440;argut dessous
36500;argy
64120;arhansus
65230;aries espenan
81360;arifat
9400;arignac
39240;arinthod
39240;arinthod
73340;arith
63220;arlanc
39210;arlay
39140;arlay
7410;arlebosc
43490;arlempdes
13104;arles
13123;arles
13200;arles
13200;arles
13280;arles
13280;arles
13129;arles
66150;arles sur tech
43380;arlet
58430;arleuf
59151;arleux
62580;arleux en gohelle
31440;arlos
49420;armaille
60880;armancourt
80700;armancourt
54760;armaucourt
59380;armbouts cappel
89500;armeau
64640;armendarits
59280;armentieres
59280;armentieres
77440;armentieres en brie
27820;armentieres sur avre
2210;armentieres sur ourcq
32230;armentieux
58500;armes
47800;armillac
11110;armissan
1510;armix
32230;armous et cau
74200;armoy
15150;arnac
87160;arnac la poste
19230;arnac pompadour
12360;arnac sur dourdou
72230;arnage
52110;arnancourt
69400;arnas
31360;arnaud guilhem
9400;arnave
54530;arnaville
21230;arnay le duc
21350;arnay sous vitteaux
26470;arnayon
65670;arne
64220;arneguy
59285;arneke
8300;arnicourt
27180;arnieres sur iton
64370;arnos
95400;arnouville
78790;arnouville les mantes
88170;aroffe
39240;aromas
39240;aromas
39240;aromas
53440;aron
64120;aroue ithorots olhaiby
64120;aroue ithorots olhaiby
70360;aroz
30700;arpaillargues et aureillac
91290;arpajon
15130;arpajon sur cere
26110;arpavon
70200;arpenans
36700;arpheuilles
18200;arpheuilles
3420;arpheuilles st priest
30120;arphy
53170;arquenay
11190;arques
12290;arques
62510;arques
76880;arques la bataille
11220;arquettes en val
80560;arqueves
58310;arquian
54370;arracourt
56610;arradon
57380;arraincourt
91690;arrancourt
2860;arrancy
55230;arrancy sur crusnes
21500;arrans
62000;arras
65400;arras en lavedan
7370;arras sur rhone
64130;arrast larrebieu
64120;arraute charritte
54760;arraye et han
65100;arrayou lahitte
30120;arre
65240;arreau
10340;arrelles
10330;arrembecourt
23210;arrenes
65400;arrens marsous
65400;arrens marsous
88430;arrentes de corcieux
10200;arrentieres
80820;arrest
8090;arreux
57580;arriance
64350;arricau bordes
64420;arrien
9800;arrien en bethmale
30770;arrigas
51290;arrigny
20151;arro
65130;arrodets
65100;arrodets ez angles
14117;arromanches les bains
3250;arronnes
95810;arronville
64800;arros de nay
64350;arroses
32140;arrouede
9800;arrout
57680;arry
80120;arry
16130;ars
23480;ars
17590;ars en re
57530;ars laquenexy
63700;ars les favets
1480;ars sur formans
57130;ars sur moselle
33460;arsac
43700;arsac en velay
40330;arsague
70100;arsans
10200;arsonval
39250;arsure arsurette
60190;arsy
54510;art sur meurthe
54510;art sur meurthe
65500;artagnan
8390;artaise le vivier
71110;artaix
65400;artalens souin
37260;artannes sur indre
49260;artannes sur thouet
38440;artas
40090;artassenx
1510;artemare
2480;artemps
45410;artenay
74380;arthaz pont notre dame
58700;arthel
26260;arthemonay
17520;arthenac
81160;arthes
40190;arthez d armagnac
64800;arthez d asson
64370;arthez de bearn
72270;artheze
95420;arthies
36330;arthon
89740;arthonnay
42130;arthun
9130;artigat
83630;artignosc sur verdon
31110;artigue
64420;artigueloutan
64230;artiguelouve
65130;artiguemy
9460;artigues
83560;artigues
11140;artigues
65100;artigues
33370;artigues pres bordeaux
41800;artins
9120;artix
64170;artix
67390;artolsheim
63460;artonne
59269;artres
68320;artzenheim
64260;arudy
40120;arue
98701;arue
17530;arvert
33500;arveyres
1260;arviere en valromey
1260;arviere en valromey
1260;arviere en valromey
1260;arviere en valromey
12120;arvieu
5350;arvieux
9100;arvigna
73110;arvillard
77890;arville
